Removed Pin From Net: NetName=VCC Pin=C5-1
Removed Pin From Net: NetName=RESET Pin=C5-2
Removed Member From Class: ClassName=复位 Member=C5
Change Component Footprint: Designator=C5 Old Footprint=CAPR5-4X5 New Footprint=FP-1210-L_3_3_0_4-W_2_5_0-IPC_B
Change Component Footprint: Designator=R4 Old Footprint=RESC6332 New Footprint=RESC3225X70X45NL20T20
Change Component Comment : Designator=C5 Old Comment=Cap Pol1 New Comment=12102C104KAT2A
Change Component Comment : Designator=R4 Old Comment=Res2 New Comment=CRCW121015R0JNEAHP
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=6EE70956-5B94-4EAF-BF69-5FFC86EDDEFD Old RevisionGUID= New RevisionGUID=1FF2FD29-D2F1-42E4-8A2D-1FAC02C5DBD6
Change Managed Component Library Link : Designator=R4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=F6345F39-6AE2-4DCE-923A-A115C01DA446 Old RevisionGUID= New RevisionGUID=25EF7A8D-8D18-4313-A099-C6E35CEFE226
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAPR5-4X5"; UniqueID = "\TDMWFAPI" ("\TDMWFAPI")
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "1210"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size"; Value = "1.27mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.05inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "200V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "200V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "200V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.098inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "RESC6332"; UniqueID = "\JIORJYJN" ("\JIORJYJN")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CRCW121015R0JNEAHP"; VariantName = "[No Variations]"
Added Component: Designator=C1(FP-1210-L_3_3_0_4-W_2_5_0-IPC_B)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "3225"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dissipation Factor"; Value = "2.5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.05inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.098inch"; VariantName = "[No Variations]"
Added Component: Designator=C2(CAPR5-4X5)
Add component (AddParameter): Name = "PackageDescription"; Value = "Capacitor; 2 Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "CAPR5-4X5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "23-Sep-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Added Component: Designator=C3(FP-1210-L_3_3_0_4-W_2_5_0-IPC_B)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "3225"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dissipation Factor"; Value = "2.5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.05inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.098inch"; VariantName = "[No Variations]"
Added Component: Designator=C4(CAPR5-4X5)
Add component (AddParameter): Name = "PackageDescription"; Value = "Capacitor; 2 Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "CAPR5-4X5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "23-Sep-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Added Component: Designator=C6(CAPR5-4X5)
Add component (AddParameter): Name = "PackageDescription"; Value = "Capacitor; 2 Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "CAPR5-4X5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "23-Sep-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Added Component: Designator=C7(FP-1210-L_3_3_0_4-W_2_5_0-IPC_B)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "3225"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dissipation Factor"; Value = "2.5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.05inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.098inch"; VariantName = "[No Variations]"
Added Component: Designator=C8(FP-1210-L_3_3_0_4-W_2_5_0-IPC_B)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "3225"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dissipation Factor"; Value = "2.5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size"; Value = "1.27mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.05inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.098inch"; VariantName = "[No Variations]"
Add Component: Footprint Not Found MHDR1X3
Added Component: Designator=R1(RESC3225X70X45NL20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW121015R0JNEAHP"; VariantName = "[No Variations]"
Add Component: Footprint Not Found 电阻
Added Component: Designator=R3(RESC3225X70X45NL20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW121015R0JNEAHP"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetC1_1 Pin=C1-1
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=NetC1_1 Pin=C2-1
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=VCC Pin=C3-1
Added Pin To Net: NetName=GND Pin=C3-2
Added Pin To Net: NetName=VCC Pin=C4-1
Added Pin To Net: NetName=GND Pin=C4-2
Added Pin To Net: NetName=VCC Pin=C6-1
Added Pin To Net: NetName=RESET Pin=C6-2
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=X2 Pin=C7-2
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=X1 Pin=C8-2
Add Pin To Net: Unknown Pin: Pin P3-1
Add Pin To Net: Unknown Pin: Pin P3-2
Add Pin To Net: Unknown Pin: Pin P3-3
Added Pin To Net: NetName=VCC Pin=R1-1
Added Pin To Net: NetName=NetD1_1 Pin=R1-2
Add Pin To Net: Unknown Pin: Pin R2-1
Add Pin To Net: Unknown Pin: Pin R2-2
Added Pin To Net: NetName=P24 Pin=R3-1
Added Pin To Net: NetName=NetQ1_2 Pin=R3-2
Added Member To Class: ClassName=电源电路 Member=Component C1 12102C104KAT2A
Added Member To Class: ClassName=电源电路 Member=Component C2 Cap2
Added Member To Class: ClassName=电源电路 Member=Component C3 12102C104KAT2A
Added Member To Class: ClassName=电源电路 Member=Component C4 Cap2
Added Member To Class: ClassName=电源电路 Member=Component C5 12102C104KAT2A
Added Member To Class: ClassName=复位 Member=Component C6 Cap2
Added Member To Class: ClassName=晶振 Member=Component C7 12102C104KAT2A
Added Member To Class: ClassName=晶振 Member=Component C8 12102C104KAT2A
Add Class Member: Failed to add class member : Component P3 LM7805
Added Member To Class: ClassName=电源电路 Member=Component R1 CRCW121015R0JNEAHP
Add Class Member: Failed to add class member : Component R2 Res2
Added Member To Class: ClassName=蜂鸣器 Member=Component R3 CRCW121015R0JNEAHP
